spp,hatchdat,sizename,sizeclass_cm,Trial_ID,Contact_event,Contact_Orientation,Contact_First_Bodypart,N_Contact,Time_Point,Notes,Data_Enterer,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,3,Upstream,Body,1,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,4,Upstream,Body,5,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,5,Upstream,Body,1,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,6,Upstream,Body,3,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,7,Upstream,Body,1,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,8,Downstream,Body,1,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,9,Downstream,Body,1,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,10,Downstream,Body,1,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,11,Downstream,Body,1,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,12,Downstream,Body,1,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,13,Downstream,Body,2,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,14,Downstream,Body,1,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,1,Upstream,Tail,4,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,2,Upstream,Tail,2,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,3,Upstream,Tail,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,4,Upstream,Tail,3,t20,NA,Megan,,,,,,,,,,
